,geometry,WAARNEMING_ID,NAAM,CODE,OMSCHRIJVING,STATUSWAARDE,BEMONSTERINGSHOOGTE,REFERENTIEVLAK,OPDRACHTGEVENDE_INSTANTIE,KWALITEITSWAARDE_CODE,WAARDE_LAATSTE_METING,TIJDSTIP_LAATSTE_METING,PARAMETER_WAT_OMSCHRIJVING,BEMONSTERINGSAPPARAATCODE,BEMONSTERINGSMETHODECODE,BEMONSTERINGSSOORTCODE,BIOTAXONCODE,BIOTAXONTYPE,COMPARTIMENTCODE,EENHEIDCODE,GROOTHEIDCODE,HOEDANIGHEIDCODE,MEETAPPARAATCODE,ORGAANCODE,PARAMETERCODE,TYPERINGCODE,GROEPERINGCODE,WAARDEBEPALINGSTECHNIEKCODE,WAARDEBEPALINGSMETHODECODE,WAARDEBEWERKINGSMETHODECODE,index_right,beleidnaambronhouder,identificatie,beleidbronnaam,beleidbronurl,begingeldigheid,beleidbrondatum,beleidnaam,bronhouder,classificatie1,classificatie2,classificatie3
480,POINT (209170.01738969103 609499.9463397942),8684,"Schiermonnikoog, Waddenzee",schiermonnikoog.waddenzee,"Schiermonnikoog, Waddenzee",Ongecontroleerd,0,NVT,RIKZMON_WAT,00,-62.0,2026-08-24T13:20:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
615,POINT (156480.00531856908 576549.9896817596),9967,"Harlingen, Waddenzee",harlingen.waddenzee,"Harlingen, Waddenzee",Ongecontroleerd,0,NVT,RIKZMON_WAT,00,-59.0,2026-08-24T13:20:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
691,POINT (143870.00713424713 597419.9822211565),10584,"Terschelling, west",terschelling.west,"Terschelling, west",Ongecontroleerd,0,NVT,RIKZMON_WAT,00,-76.0,2026-08-24T13:20:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
707,POINT (179743.03006612838 604896.9891156603),10708,"Ameland, Nes",ameland.nes,"Ameland, Nes",Ongecontroleerd,0,NVT,RIKZ_GOLVEN,00,-66.0,2026-08-24T13:20:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10220,NVT,NVT,NVT,,NVT,other:F046,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
867,POINT (245500.0326386186 609809.9985174687),12981,Uithuizerwad,uithuizerwad,"voorheen Uithuizerwad, 1",Ongecontroleerd,0,NVT,RIKZ_WAT,00,53.0,2026-08-24T13:20:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10081,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
921,POINT (111849.98711498224 553229.9992972258),13505,"Den Helder, Marsdiep",denhelder.marsdiep,"Den Helder, Marsdiep",Ongecontroleerd,0,NVT,RIKZMON_WAT,00,-48.0,2026-08-24T13:20:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
1618,POINT (132030.02871991743 549440.044526853),17972,"Den Oever, Waddenzee voorhaven",denoever.waddenzee.voorhaven,"Den Oever, Waddenzee voorhaven",Ongecontroleerd,0,NVT,RIKZMON_WAT,00,-70.0,2026-08-24T13:20:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
743533,POINT (169249.99977466397 605900.0549534864),4436138,Borndiep,borndiep,Borndiep,Gecontroleerd,-999999999,NVT,RIKZSBW,00,42.0,2008-03-29T23:56:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10005,NVT,NVT,NVT,,NVT,other:F183,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
824386,POINT (250749.99653686117 607900.0272354316),4915683,"Eemshaven, haven",eemshaven.haven,"Eemshaven, haven",Gecontroleerd,-999999999,NVT,RIKZMON_WAT,25,117.0,2024-09-11T14:00:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
824410,POINT (209170.01738969103 609499.9463397942),4915769,"Schiermonnikoog, Waddenzee",schiermonnikoog.waddenzee,"Schiermonnikoog, Waddenzee",Ongecontroleerd,-999999999,NVT,RIKZMON_WAT,00,90.0,2025-11-27T00:50:00.000Z,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,8000,NVT,SB,NVT,,OW,cm,WATHTE,NAP,10042,NVT,NVT,NVT,,NVT,other:F007,NVT,0,Rijkswateren,Waddenzee,Omgevingswet,https://wetten.overheid.nl/BWBR0037885/2024-01-01/0,2025-04-01T00:00:00+02:00,2025-04-01T00:00:00+02:00,NNN-Rijksw,54,,,
