locatie_id,watersysteemid,locatie_naam,locatie_code,locatie_omschrijving,rw_identificatie,PARAMETER_WAT_OMSCHRIJVING,TIJDSTIP_LAATSTE_METING,geometry
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5cdb,"Eems, Dollard",Huibertgat,huibertgat,Huibertgat,"Eems, Dollard",Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(6.398433, 53.57375)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5bd0,"Eems, Dollard",Huibertgat,huibertgat,Huibertgat,"Eems, Dollard",Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(6.398433, 53.57375)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b6d,"Eems, Dollard","Eemshaven, Waddenzee",eemshaven.waddenzee,stroommeetpaal,"Eems, Dollard",Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-08-28T15:15:00Z,"c(6.821731, 53.474392)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5afd,"Eems, Dollard","Eemshaven, Waddenzee",eemshaven.waddenzee,stroommeetpaal,"Eems, Dollard",Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(6.821731, 53.474392)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5ae2,"Eems, Dollard","Eemshaven, Waddenzee",eemshaven.waddenzee,stroommeetpaal,"Eems, Dollard",Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T00:50:00Z,"c(6.821731, 53.474392)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5adf,"Eems, Dollard","Eemshaven, Waddenzee",eemshaven.waddenzee,stroommeetpaal,"Eems, Dollard",Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-11-27T01:00:00Z,"c(6.821731, 53.474392)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5a9f,"Eems, Dollard",Huibertgat,huibertgat,Huibertgat,"Eems, Dollard",Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-10-01T10:25:00Z,"c(6.398433, 53.57375)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5a5b,"Eems, Dollard","Eemshaven, Waddenzee",eemshaven.waddenzee,stroommeetpaal,"Eems, Dollard",Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(6.821731, 53.474392)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5cce,Eemskanaal,Slochtersluis,slochtersluis.boven,Slochtersluis,Eemskanaal,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:00:00Z,"c(6.65056, 53.23631)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5c04,Eemskanaal,Delfzijl,delfzijl,Delfzijl,Eemskanaal,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-07-21T18:20:00Z,"c(6.931, 53.328)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5bef,Eemskanaal,Delfzijl,delfzijl,Delfzijl,Eemskanaal,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2026-01-01T23:50:00Z,"c(6.931, 53.328)"
locatiesmetlaatstewaarneming.fid-25e367c2_19f8584639c_-5b79,Eemskanaal,Delfzijl,delfzijl,Delfzijl,Eemskanaal,Waterhoogte in Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm,2025-01-01T00:38:00Z,"c(6.931, 53.328)"
