locatie_naam,locatie_code
Huibertgat,huibertgat
"Eemshaven, Waddenzee",eemshaven.waddenzee
Slochtersluis,slochtersluis.boven
Delfzijl,delfzijl
"Schiermonnikoog, Waddenzee",schiermonnikoog.waddenzee
"Harlingen, Waddenzee",harlingen.waddenzee
"Terschelling, west",terschelling.west
"Ameland, Nes",ameland.nes
Uithuizerwad,uithuizerwad
"Den Helder, Marsdiep",denhelder.marsdiep
"Den Oever, Waddenzee voorhaven",denoever.waddenzee.voorhaven
"Holwerd, Veersteiger",holwerd.veersteiger
Kornwerderzand Waddenzee buitenhaven,kornwerderzand.waddenzee.buitenhaven
"Den Helder, veersteiger",denhelder.veersteiger
Holwerd vaargeul,holwerd.vaargeul
Dantziggat Piet Scheveplaat zuid,dantziggat.pietscheveplaat.zuid
