basin,jaar,diepteklasse,diepteklasse_plotname,area,percentage
Eems-Dollard,1989,Totaal,Totaal,428.5192,100
Eems-Dollard,1989,Geul (< -5 m NAP),Geul \n (< -5 m NAP),133.1964,31.0829479752599
Eems-Dollard,1989,Geul (-3 tot -5 m NAP),Geul \n (-3 tot -5 m NAP),35.7284,8.33764274739615
Eems-Dollard,1989,Subgetijde (GLW tot -3 m NAP),Subgetijde \n (GLW tot -3 m NAP),51.5908,12.0393205251947
Eems-Dollard,1989,Intergetijde (GLW tot GHW),Intergetijde \n (GLW tot GHW),196.6064,45.8804179602688
Eems-Dollard,1989,Supragetijde (> GHW),Supragetijde \n (> GHW),11.006,2.56837966653536
Eems-Dollard,1993,Totaal,Totaal,431.7716,100
Eems-Dollard,1993,Geul (< -5 m NAP),Geul \n (< -5 m NAP),133.036,30.8116606094519
Eems-Dollard,1993,Geul (-3 tot -5 m NAP),Geul \n (-3 tot -5 m NAP),32.388,7.50118812816776
Eems-Dollard,1993,Subgetijde (GLW tot -3 m NAP),Subgetijde \n (GLW tot -3 m NAP),60.292,13.963864228217
Eems-Dollard,1993,Intergetijde (GLW tot GHW),Intergetijde \n (GLW tot GHW),194.3732,45.017597266703
Eems-Dollard,1993,Supragetijde (> GHW),Supragetijde \n (> GHW),11.2912,2.61508630952105
Eems-Dollard,1999,Totaal,Totaal,434.1808,100
Eems-Dollard,1999,Geul (< -5 m NAP),Geul \n (< -5 m NAP),131.488,30.2841581203038
Eems-Dollard,1999,Geul (-3 tot -5 m NAP),Geul \n (-3 tot -5 m NAP),30.0996,6.93250369431352
Eems-Dollard,1999,Subgetijde (GLW tot -3 m NAP),Subgetijde \n (GLW tot -3 m NAP),57.192,13.1723926990784
Eems-Dollard,1999,Intergetijde (GLW tot GHW),Intergetijde \n (GLW tot GHW),203.5936,46.8914332462421
Eems-Dollard,1999,Supragetijde (> GHW),Supragetijde \n (> GHW),11.3948,2.62443664021993
Eems-Dollard,2005,Totaal,Totaal,445.9568,100
Eems-Dollard,2005,Geul (< -5 m NAP),Geul \n (< -5 m NAP),133.4616,29.9270243216383
Eems-Dollard,2005,Geul (-3 tot -5 m NAP),Geul \n (-3 tot -5 m NAP),28.9988,6.50260294270656
Eems-Dollard,2005,Subgetijde (GLW tot -3 m NAP),Subgetijde \n (GLW tot -3 m NAP),55.1492,12.3664893101753
Eems-Dollard,2005,Intergetijde (GLW tot GHW),Intergetijde \n (GLW tot GHW),215.5216,48.3279097885714
Eems-Dollard,2005,Supragetijde (> GHW),Supragetijde \n (> GHW),12.4144,2.78376739630386
Eems-Dollard,2011,Totaal,Totaal,443.9532,100
Eems-Dollard,2011,Geul (< -5 m NAP),Geul \n (< -5 m NAP),134.102,30.2063370643572
Eems-Dollard,2011,Geul (-3 tot -5 m NAP),Geul \n (-3 tot -5 m NAP),25.7656,5.80367480175838
Eems-Dollard,2011,Subgetijde (GLW tot -3 m NAP),Subgetijde \n (GLW tot -3 m NAP),45.9992,10.361272314289
Eems-Dollard,2011,Intergetijde (GLW tot GHW),Intergetijde \n (GLW tot GHW),225.7896,50.858874313779
Eems-Dollard,2011,Supragetijde (> GHW),Supragetijde \n (> GHW),11.884,2.67685873195643
Eems-Dollard,2017,Totaal,Totaal,446.8284,100
Eems-Dollard,2017,Geul (< -5 m NAP),Geul \n (< -5 m NAP),131.7132,29.4773564079633
Eems-Dollard,2017,Geul (-3 tot -5 m NAP),Geul \n (-3 tot -5 m NAP),23.3504,5.22580928159446
Eems-Dollard,2017,Subgetijde (GLW tot -3 m NAP),Subgetijde \n (GLW tot -3 m NAP),37.5592,8.4057324914889
Eems-Dollard,2017,Intergetijde (GLW tot GHW),Intergetijde \n (GLW tot GHW),240.6668,53.8611243152852
Eems-Dollard,2017,Supragetijde (> GHW),Supragetijde \n (> GHW),13.1268,2.93777208431693
