basin,jaar,diepteklasse,diepteklasse_plotname,area,percentage
Eijerlandse Gat,1989,Totaal,Totaal,182.1472,100
Eijerlandse Gat,1989,Geul (< -5 m NAP),Geul \n (< -5 m NAP),12.9396,7.10392473779449
Eijerlandse Gat,1989,Geul (-3 tot -5 m NAP),Geul \n (-3 tot -5 m NAP),8.3868,4.60440786353016
Eijerlandse Gat,1989,Subgetijde (GLW tot -3 m NAP),Subgetijde \n (GLW tot -3 m NAP),38.1432,20.9408654099541
Eijerlandse Gat,1989,Intergetijde (GLW tot GHW),Intergetijde \n (GLW tot GHW),117.5116,64.5146343177386
Eijerlandse Gat,1989,Supragetijde (> GHW),Supragetijde \n (> GHW),5.166,2.83616767098259
Eijerlandse Gat,1993,Totaal,Totaal,181.2352,100
Eijerlandse Gat,1993,Geul (< -5 m NAP),Geul \n (< -5 m NAP),12.6768,6.99466770252137
Eijerlandse Gat,1993,Geul (-3 tot -5 m NAP),Geul \n (-3 tot -5 m NAP),8.6236,4.75823681050922
Eijerlandse Gat,1993,Subgetijde (GLW tot -3 m NAP),Subgetijde \n (GLW tot -3 m NAP),31.3644,17.3059096687619
Eijerlandse Gat,1993,Intergetijde (GLW tot GHW),Intergetijde \n (GLW tot GHW),122.8252,67.77116145208
Eijerlandse Gat,1993,Supragetijde (> GHW),Supragetijde \n (> GHW),5.7452,3.17002436612755
Eijerlandse Gat,1999,Totaal,Totaal,181.342,100
Eijerlandse Gat,1999,Geul (< -5 m NAP),Geul \n (< -5 m NAP),13.1812,7.26869671670104
Eijerlandse Gat,1999,Geul (-3 tot -5 m NAP),Geul \n (-3 tot -5 m NAP),7.9272,4.3714087194362
Eijerlandse Gat,1999,Subgetijde (GLW tot -3 m NAP),Subgetijde \n (GLW tot -3 m NAP),33.4764,18.4603677030142
Eijerlandse Gat,1999,Intergetijde (GLW tot GHW),Intergetijde \n (GLW tot GHW),121.1804,66.8242326653506
Eijerlandse Gat,1999,Supragetijde (> GHW),Supragetijde \n (> GHW),5.5768,3.07529419549801
Eijerlandse Gat,2005,Totaal,Totaal,181.2064,100
Eijerlandse Gat,2005,Geul (< -5 m NAP),Geul \n (< -5 m NAP),13.6728,7.54542885902485
Eijerlandse Gat,2005,Geul (-3 tot -5 m NAP),Geul \n (-3 tot -5 m NAP),7.5676,4.17623218605965
Eijerlandse Gat,2005,Subgetijde (GLW tot -3 m NAP),Subgetijde \n (GLW tot -3 m NAP),27.6452,15.2561940417116
Eijerlandse Gat,2005,Intergetijde (GLW tot GHW),Intergetijde \n (GLW tot GHW),125.1456,69.0624613700178
Eijerlandse Gat,2005,Supragetijde (> GHW),Supragetijde \n (> GHW),7.1752,3.95968354318611
Eijerlandse Gat,2011,Totaal,Totaal,181.6672,100
Eijerlandse Gat,2011,Geul (< -5 m NAP),Geul \n (< -5 m NAP),14.6852,8.08357259868595
Eijerlandse Gat,2011,Geul (-3 tot -5 m NAP),Geul \n (-3 tot -5 m NAP),7.3436,4.04233675644255
Eijerlandse Gat,2011,Subgetijde (GLW tot -3 m NAP),Subgetijde \n (GLW tot -3 m NAP),27.844,15.3269274805799
Eijerlandse Gat,2011,Intergetijde (GLW tot GHW),Intergetijde \n (GLW tot GHW),124.7144,68.6499268992972
Eijerlandse Gat,2011,Supragetijde (> GHW),Supragetijde \n (> GHW),7.08,3.89723626499445
Eijerlandse Gat,2017,Totaal,Totaal,189.7308,100
Eijerlandse Gat,2017,Geul (< -5 m NAP),Geul \n (< -5 m NAP),15.236,8.03032507110074
Eijerlandse Gat,2017,Geul (-3 tot -5 m NAP),Geul \n (-3 tot -5 m NAP),7.1864,3.78768233729052
Eijerlandse Gat,2017,Subgetijde (GLW tot -3 m NAP),Subgetijde \n (GLW tot -3 m NAP),31.9796,16.8552496484493
Eijerlandse Gat,2017,Intergetijde (GLW tot GHW),Intergetijde \n (GLW tot GHW),129.4096,68.2069542741611
Eijerlandse Gat,2017,Supragetijde (> GHW),Supragetijde \n (> GHW),5.9192,3.11978866899839
Eijerlandse Gat,2023,Totaal,Totaal,186.9224,100
Eijerlandse Gat,2023,Geul (< -5 m NAP),Geul \n (< -5 m NAP),15.0132,8.0317821727091
Eijerlandse Gat,2023,Geul (-3 tot -5 m NAP),Geul \n (-3 tot -5 m NAP),7.5972,4.06436039768374
Eijerlandse Gat,2023,Subgetijde (GLW tot -3 m NAP),Subgetijde \n (GLW tot -3 m NAP),29.5908,15.830526464458
Eijerlandse Gat,2023,Intergetijde (GLW tot GHW),Intergetijde \n (GLW tot GHW),127.8188,68.3806756172615
Eijerlandse Gat,2023,Supragetijde (> GHW),Supragetijde \n (> GHW),6.9024,3.69265534788768
