basin,jaar,diepteklasse,diepteklasse_plotname,area,percentage
Groninger Wad,1989,Totaal,Totaal,238.746,100
Groninger Wad,1989,Geul (< -5 m NAP),Geul \n (< -5 m NAP),14.4404,6.04843641359436
Groninger Wad,1989,Geul (-3 tot -5 m NAP),Geul \n (-3 tot -5 m NAP),12.156,5.09160362896132
Groninger Wad,1989,Subgetijde (GLW tot -3 m NAP),Subgetijde \n (GLW tot -3 m NAP),27.1112,11.355666691798
Groninger Wad,1989,Intergetijde (GLW tot GHW),Intergetijde \n (GLW tot GHW),176.7924,74.0504134100676
Groninger Wad,1989,Supragetijde (> GHW),Supragetijde \n (> GHW),8.246,3.45387985557873
Groninger Wad,1993,Totaal,Totaal,227.6352,100
Groninger Wad,1993,Geul (< -5 m NAP),Geul \n (< -5 m NAP),13.7892,6.05758687584345
Groninger Wad,1993,Geul (-3 tot -5 m NAP),Geul \n (-3 tot -5 m NAP),13.1724,5.7866270242915
Groninger Wad,1993,Subgetijde (GLW tot -3 m NAP),Subgetijde \n (GLW tot -3 m NAP),27.086,11.8988627417904
Groninger Wad,1993,Intergetijde (GLW tot GHW),Intergetijde \n (GLW tot GHW),166.3332,73.0700700067476
Groninger Wad,1993,Supragetijde (> GHW),Supragetijde \n (> GHW),7.2544,3.18685335132704
Groninger Wad,1999,Totaal,Totaal,234.8616,100
Groninger Wad,1999,Geul (< -5 m NAP),Geul \n (< -5 m NAP),14.5404,6.19105038882474
Groninger Wad,1999,Geul (-3 tot -5 m NAP),Geul \n (-3 tot -5 m NAP),13.5512,5.76986616799
Groninger Wad,1999,Subgetijde (GLW tot -3 m NAP),Subgetijde \n (GLW tot -3 m NAP),28.2484,12.0276792800526
Groninger Wad,1999,Intergetijde (GLW tot GHW),Intergetijde \n (GLW tot GHW),171.0372,72.8246763200114
Groninger Wad,1999,Supragetijde (> GHW),Supragetijde \n (> GHW),7.4844,3.18672784312123
Groninger Wad,2005,Totaal,Totaal,229.1748,100
Groninger Wad,2005,Geul (< -5 m NAP),Geul \n (< -5 m NAP),13.9208,6.07431532611788
Groninger Wad,2005,Geul (-3 tot -5 m NAP),Geul \n (-3 tot -5 m NAP),14.334,6.25461438168594
Groninger Wad,2005,Subgetijde (GLW tot -3 m NAP),Subgetijde \n (GLW tot -3 m NAP),29.402,12.8295083054507
Groninger Wad,2005,Intergetijde (GLW tot GHW),Intergetijde \n (GLW tot GHW),164.2372,71.6645983764358
Groninger Wad,2005,Supragetijde (> GHW),Supragetijde \n (> GHW),7.2808,3.17696361030968
Groninger Wad,2011,Totaal,Totaal,227.4072,100
Groninger Wad,2011,Geul (< -5 m NAP),Geul \n (< -5 m NAP),14.2856,6.28194709754133
Groninger Wad,2011,Geul (-3 tot -5 m NAP),Geul \n (-3 tot -5 m NAP),14.0588,6.18221410755684
Groninger Wad,2011,Subgetijde (GLW tot -3 m NAP),Subgetijde \n (GLW tot -3 m NAP),28.7048,12.6226434343328
Groninger Wad,2011,Intergetijde (GLW tot GHW),Intergetijde \n (GLW tot GHW),162.792,71.5861239221977
Groninger Wad,2011,Supragetijde (> GHW),Supragetijde \n (> GHW),7.566,3.32707143837134
Groninger Wad,2017,Totaal,Totaal,226.136,100
Groninger Wad,2017,Geul (< -5 m NAP),Geul \n (< -5 m NAP),12.2836,5.43195245339088
Groninger Wad,2017,Geul (-3 tot -5 m NAP),Geul \n (-3 tot -5 m NAP),11.7624,5.20147168075848
Groninger Wad,2017,Subgetijde (GLW tot -3 m NAP),Subgetijde \n (GLW tot -3 m NAP),27.4284,12.1291612127215
Groninger Wad,2017,Intergetijde (GLW tot GHW),Intergetijde \n (GLW tot GHW),165.5352,73.2016131885237
Groninger Wad,2017,Supragetijde (> GHW),Supragetijde \n (> GHW),9.1264,4.03580146460537
