basin,jaar,diepteklasse,diepteklasse_plotname,area,percentage
Marsdiep,1989,Totaal,Totaal,673.0788,100
Marsdiep,1989,Geul (< -5 m NAP),Geul \n (< -5 m NAP),158.624,23.5669285676506
Marsdiep,1989,Geul (-3 tot -5 m NAP),Geul \n (-3 tot -5 m NAP),92.6996,13.7724735944736
Marsdiep,1989,Subgetijde (GLW tot -3 m NAP),Subgetijde \n (GLW tot -3 m NAP),303.0068,45.0180276068716
Marsdiep,1989,Intergetijde (GLW tot GHW),Intergetijde \n (GLW tot GHW),115.5676,17.1699955488124
Marsdiep,1989,Supragetijde (> GHW),Supragetijde \n (> GHW),3.1776,0.472099254946078
Marsdiep,1993,Totaal,Totaal,678.7092,100
Marsdiep,1993,Geul (< -5 m NAP),Geul \n (< -5 m NAP),159.2148,23.4584708738293
Marsdiep,1993,Geul (-3 tot -5 m NAP),Geul \n (-3 tot -5 m NAP),82.5984,12.1699249104035
Marsdiep,1993,Subgetijde (GLW tot -3 m NAP),Subgetijde \n (GLW tot -3 m NAP),312.6504,46.0654430498364
Marsdiep,1993,Intergetijde (GLW tot GHW),Intergetijde \n (GLW tot GHW),120.9512,17.8207691895144
Marsdiep,1993,Supragetijde (> GHW),Supragetijde \n (> GHW),3.2864,0.484213268362945
Marsdiep,1999,Totaal,Totaal,682.0932,100
Marsdiep,1999,Geul (< -5 m NAP),Geul \n (< -5 m NAP),158.3868,23.220697699376
Marsdiep,1999,Geul (-3 tot -5 m NAP),Geul \n (-3 tot -5 m NAP),85.2092,12.4923104349963
Marsdiep,1999,Subgetijde (GLW tot -3 m NAP),Subgetijde \n (GLW tot -3 m NAP),322.1116,47.2239863995126
Marsdiep,1999,Intergetijde (GLW tot GHW),Intergetijde \n (GLW tot GHW),113.0812,16.5785555405038
Marsdiep,1999,Supragetijde (> GHW),Supragetijde \n (> GHW),3.3032,0.484273996574075
Marsdiep,2005,Totaal,Totaal,689.7624,100
Marsdiep,2005,Geul (< -5 m NAP),Geul \n (< -5 m NAP),160.0036,23.1969153436024
Marsdiep,2005,Geul (-3 tot -5 m NAP),Geul \n (-3 tot -5 m NAP),87.6464,12.706752354144
Marsdiep,2005,Subgetijde (GLW tot -3 m NAP),Subgetijde \n (GLW tot -3 m NAP),324.4668,47.0403721629361
Marsdiep,2005,Intergetijde (GLW tot GHW),Intergetijde \n (GLW tot GHW),115.316,16.7182206510532
Marsdiep,2005,Supragetijde (> GHW),Supragetijde \n (> GHW),2.2908,0.332114362858863
Marsdiep,2011,Totaal,Totaal,692.2388,100
Marsdiep,2011,Geul (< -5 m NAP),Geul \n (< -5 m NAP),162.3724,23.4561252561977
Marsdiep,2011,Geul (-3 tot -5 m NAP),Geul \n (-3 tot -5 m NAP),88.8724,12.8384020080932
Marsdiep,2011,Subgetijde (GLW tot -3 m NAP),Subgetijde \n (GLW tot -3 m NAP),327.9616,47.3769456436132
Marsdiep,2011,Intergetijde (GLW tot GHW),Intergetijde \n (GLW tot GHW),110.8192,16.0088108323313
Marsdiep,2011,Supragetijde (> GHW),Supragetijde \n (> GHW),2.21,0.319253991541647
Marsdiep,2017,Totaal,Totaal,698.7516,100
Marsdiep,2017,Geul (< -5 m NAP),Geul \n (< -5 m NAP),163.522,23.4020215481439
Marsdiep,2017,Geul (-3 tot -5 m NAP),Geul \n (-3 tot -5 m NAP),85.1828,12.1907126938958
Marsdiep,2017,Subgetijde (GLW tot -3 m NAP),Subgetijde \n (GLW tot -3 m NAP),336.9496,48.2216570237549
Marsdiep,2017,Intergetijde (GLW tot GHW),Intergetijde \n (GLW tot GHW),110.8512,15.8641783432052
Marsdiep,2017,Supragetijde (> GHW),Supragetijde \n (> GHW),2.2332,0.319598552618699
Marsdiep,2023,Totaal,Totaal,700.904,100
Marsdiep,2023,Geul (< -5 m NAP),Geul \n (< -5 m NAP),164.4032,23.4558798351843
Marsdiep,2023,Geul (-3 tot -5 m NAP),Geul \n (-3 tot -5 m NAP),83.46,11.9074794836383
Marsdiep,2023,Subgetijde (GLW tot -3 m NAP),Subgetijde \n (GLW tot -3 m NAP),336.3604,47.989510689053
Marsdiep,2023,Intergetijde (GLW tot GHW),Intergetijde \n (GLW tot GHW),112.8128,16.0953283188568
Marsdiep,2023,Supragetijde (> GHW),Supragetijde \n (> GHW),3.864,0.551288050860032
